date,unemployment rate,unemployment rate-scaled
2015.05,5.6,-0.614
2015.06,5.3,-0.667
2015.07,5.2,-0.684
2015.08,5.1,-0.702
2015.09,5,-0.719
2015.1,5,-0.719
2015.11,5.1,-0.702
2015.12,5,-0.719
2016.01,4.8,-0.754
2016.02,4.9,-0.737
2016.03,5,-0.719
2016.04,5.1,-0.702
2016.05,4.8,-0.754
2016.06,4.9,-0.737
2016.07,4.8,-0.754
2016.08,4.9,-0.737
2016.09,5,-0.719
2016.1,4.9,-0.737
2016.11,4.7,-0.772
2016.12,4.7,-0.772
2017.01,4.7,-0.772
2017.02,4.6,-0.789
2017.03,4.4,-0.825
2017.04,4.4,-0.825
2017.05,4.4,-0.825
2017.06,4.3,-0.842
2017.07,4.3,-0.842
2017.08,4.4,-0.825
2017.09,4.3,-0.842
2017.1,4.2,-0.86
2017.11,4.2,-0.86
2017.12,4.1,-0.877
2018.01,4,-0.895
2018.02,4.1,-0.877
2018.03,4,-0.895
2018.04,4,-0.895
2018.05,3.8,-0.93
2018.06,4,-0.895
2018.07,3.8,-0.93
2018.08,3.8,-0.93
2018.09,3.7,-0.947
2018.1,3.8,-0.93
2018.11,3.8,-0.93
2018.12,3.9,-0.912
2019.01,4,-0.895
2019.02,3.8,-0.93
2019.03,3.8,-0.93
2019.04,3.7,-0.947
2019.05,3.6,-0.965
2019.06,3.6,-0.965
2019.07,3.7,-0.947
2019.08,3.6,-0.965
2019.09,3.5,-0.982
2019.1,3.6,-0.965
2019.11,3.6,-0.965
2019.12,3.6,-0.965
2020.01,3.6,-0.965
2020.02,3.5,-0.982
2020.03,4.4,-0.825
2020.04,14.8,1
2020.05,13.2,0.719
2020.06,11,0.333
2020.07,10.2,0.193
2020.08,8.4,-0.123
2020.09,7.8,-0.228
2020.1,6.8,-0.404
2020.11,6.7,-0.421
2020.12,6.7,-0.421
2021.01,6.4,-0.474
2021.02,6.2,-0.509
2021.03,6.1,-0.526
2021.04,6.1,-0.526
2021.05,5.8,-0.579
2021.06,5.9,-0.561
2021.07,5.4,-0.649
2021.08,5.1,-0.702
2021.09,4.7,-0.772
