Date_YYYYMM,cpi,ppi,interest rates,Money Suply m2,Inflatio-Rate
2022.09,175.3,151.9,5.4,54244.8,7.41
2022.1,176.7,152.9,5.9,55224.14,6.77
2022.11,176.5,152.5,5.9,55524.41,5.88
2022.12,175.7,150.5,5.9,57269.63,5.72
2023.01,176.5,150.7,6.25,57294.2,6.52
2023.02,176.8,150.9,6.25,57797.04,6.44
2023.03,177.2,151,6.5,58750.52,5.66
2023.04,178.1,151.1,6.5,58968.17,4.7
2023.05,179.1,149.4,6.5,58997.59,4.25
2023.06,181,148.9,6.5,61023.69,4.81
2023.07,186.3,152.1,6.5,58853.61,7.44
2023.08,186.2,152.5,6.5,58288.02,6.83
2023.09,184.1,151.8,6.5,58131.05,5.02
2023.1,185.3,152.5,6.5,58653.32,4.87
2023.11,186.3,153.1,6.5,59785.26,5.55
2023.12,185.7,151.8,6.5,61174.78,5.69
2024.01,185.5,151.2,6.5,61017.6,5.1
2024.02,185.8,151.2,6.5,61560.26,5.09
2024.03,185.8,151.4,6.5,62917.23,4.85
2024.04,186.7,153,6.5,62800.1,4.83
2024.05,187.6,153.3,6.5,63100.5,4.75
