Date_YYYYMM,cspending,gfcf,gspending,Iip,interest rates,gdp growth rate,cspending-scaled,gfcf-scaled,gspending-scaled,iip-scaled,interest rates-scaled,gdp rate-scaled
2016.02,5.43,2.92,0.91,7.2,6.75,3,-0.396,-0.571,-0.481,-0.175,0.222,0.44
2016.03,5.43,2.92,0.91,5.2,6.75,3,-0.396,-0.571,-0.481,-0.2,0.222,0.44
2016.04,5.73,3.12,0.78,6,6.75,2.9,-0.262,-0.435,-0.722,-0.19,0.222,0.427
2016.05,5.73,3.12,0.78,7.3,6.5,2.9,-0.262,-0.435,-0.722,-0.173,0.111,0.427
2016.06,5.73,3.12,0.78,8,6.5,2.9,-0.262,-0.435,-0.722,-0.164,0.111,0.427
2016.07,5.4,3.18,1,4.5,6.5,3.2,-0.409,-0.395,-0.315,-0.209,0.111,0.467
2016.08,5.4,3.18,1,4,6.5,3.2,-0.409,-0.395,-0.315,-0.216,0.111,0.467
2016.09,5.4,3.18,1,5,6.5,3.2,-0.409,-0.395,-0.315,-0.203,0.111,0.467
2016.1,5.53,3.05,1.14,4.2,6.25,2.9,-0.351,-0.483,-0.056,-0.213,0,0.427
2016.11,5.53,3.05,1.14,5.1,6.25,2.9,-0.351,-0.483,-0.056,-0.202,0,0.427
2016.12,5.53,3.05,1.14,2.4,6.25,2.9,-0.351,-0.483,-0.056,-0.236,0,0.427
2017.01,6.07,3.11,0.97,3.5,6.25,2.1,-0.111,-0.442,-0.37,-0.222,0,0.32
2017.02,6.07,3.11,0.97,1.2,6.25,2.1,-0.111,-0.442,-0.37,-0.251,0,0.32
2017.03,6.07,3.11,0.97,4.4,6.25,2.1,-0.111,-0.442,-0.37,-0.21,0,0.32
2017.04,6,3.29,0.9,3.2,6.25,2,-0.142,-0.32,-0.5,-0.226,0,0.307
2017.05,6,3.29,0.9,2.9,6.25,2,-0.142,-0.32,-0.5,-0.23,0,0.307
2017.06,6,3.29,0.9,-0.3,6.25,2,-0.142,-0.32,-0.5,-0.271,0,0.307
2017.07,5.87,3.21,1.21,1,6.25,1.8,-0.2,-0.374,0.074,-0.254,0,0.28
2017.08,5.87,3.21,1.21,4.8,6,1.8,-0.2,-0.374,0.074,-0.205,-0.111,0.28
2017.09,5.87,3.21,1.21,4.1,6,1.8,-0.2,-0.374,0.074,-0.214,-0.111,0.28
2017.1,5.8,3.24,1.23,1.8,6,2.2,-0.231,-0.354,0.111,-0.244,-0.111,0.333
2017.11,5.8,3.24,1.23,8.5,6,2.2,-0.231,-0.354,0.111,-0.158,-0.111,0.333
2017.12,5.8,3.24,1.23,7.3,6,2.2,-0.231,-0.354,0.111,-0.173,-0.111,0.333
2018.01,6.3,3.4,1.07,7.5,6,3,-0.009,-0.245,-0.185,-0.171,-0.111,0.44
2018.02,6.3,3.4,1.07,6.9,6,3,-0.009,-0.245,-0.185,-0.179,-0.111,0.44
2018.03,6.3,3.4,1.07,5.3,6,3,-0.009,-0.245,-0.185,-0.199,-0.111,0.44
2018.04,6.47,3.77,0.98,4.5,6,2.5,0.067,0.007,-0.352,-0.209,-0.111,0.373
2018.05,6.47,3.77,0.98,3.8,6,2.5,0.067,0.007,-0.352,-0.218,-0.111,0.373
2018.06,6.47,3.77,0.98,7,6.25,2.5,0.067,0.007,-0.352,-0.177,0,0.373
2018.07,6.23,3.67,1.29,6.5,6.25,2.2,-0.04,-0.061,0.222,-0.184,0,0.333
2018.08,6.23,3.67,1.29,4.8,6.5,2.2,-0.04,-0.061,0.222,-0.205,0.111,0.333
2018.09,6.23,3.67,1.29,4.6,6.5,2.2,-0.04,-0.061,0.222,-0.208,0.111,0.333
2018.1,6.3,3.67,1.33,8.4,6.5,2.1,-0.009,-0.061,0.296,-0.159,0.111,0.32
2018.11,6.3,3.67,1.33,0.2,6.5,2.1,-0.009,-0.061,0.296,-0.264,0.111,0.32
2018.12,6.3,3.67,1.33,2.5,6.5,2.1,-0.009,-0.061,0.296,-0.235,0.111,0.32
2019.01,6.77,3.83,1.1,1.6,6.5,1.9,0.2,0.048,-0.13,-0.246,0.111,0.293
2019.02,6.77,3.83,1.1,0.2,6.5,1.9,0.2,0.048,-0.13,-0.264,0.111,0.293
2019.03,6.77,3.83,1.1,2.7,6.25,1.9,0.2,0.048,-0.13,-0.232,0,0.293
2019.04,6.83,3.97,1.06,3.2,6.25,1.7,0.227,0.143,-0.204,-0.226,0,0.267
2019.05,6.83,3.97,1.06,4.5,6,1.7,0.227,0.143,-0.204,-0.209,-0.111,0.267
2019.06,6.83,3.97,1.06,1.3,6,1.7,0.227,0.143,-0.204,-0.25,-0.111,0.267
2019.07,6.7,3.97,1.27,4.9,5.75,1.4,0.169,0.143,0.185,-0.204,-0.222,0.227
2019.08,6.7,3.97,1.27,-1.4,5.57,1.4,0.169,0.143,0.185,-0.285,-0.302,0.227
2019.09,6.7,3.97,1.27,-4.6,5.4,1.4,0.169,0.143,0.185,-0.326,-0.378,0.227
2019.1,6.67,3.63,1.4,-6.6,5.4,1.1,0.156,-0.088,0.426,-0.351,-0.378,0.187
2019.11,6.67,3.63,1.4,2.1,5.15,1.1,0.156,-0.088,0.426,-0.24,-0.489,0.187
2019.12,6.67,3.63,1.4,0.4,5.15,1.1,0.156,-0.088,0.426,-0.262,-0.489,0.187
2020.01,7.2,3.77,1.16,2.2,5.15,1,0.391,0.007,-0.019,-0.239,-0.489,0.173
2020.02,7.2,3.77,1.16,5.2,5.15,1,0.391,0.007,-0.019,-0.2,-0.489,0.173
2020.03,7.2,3.77,1.16,-18.7,5.15,1,0.391,0.007,-0.019,-0.506,-0.489,0.173
2020.04,6.97,3.93,1.15,-57.3,4.4,-7.8,0.289,0.116,-0.037,-1,-0.822,-1
2020.05,6.97,3.93,1.15,-33.4,4.4,-7.8,0.289,0.116,-0.037,-0.694,-0.822,-1
2020.06,6.97,3.93,1.15,-16.6,4,-7.8,0.289,0.116,-0.037,-0.479,-1,-1
2020.07,5.17,2.29,1.38,-10.5,4,-1.9,-0.511,-1,0.389,-0.401,-1,-0.213
2020.08,5.17,2.29,1.38,-7.1,4,-1.9,-0.511,-1,0.389,-0.358,-1,-0.213
2020.09,5.17,2.29,1.38,1,4,-1.9,-0.511,-1,0.389,-0.254,-1,-0.213
2020.1,6.2,3.53,1.03,4.5,4,0.5,-0.053,-0.156,-0.259,-0.209,-1,0.107
2020.11,6.2,3.53,1.03,-1.6,4,0.5,-0.053,-0.156,-0.259,-0.287,-1,0.107
2020.12,6.2,3.53,1.03,2.2,4,0.5,-0.053,-0.156,-0.259,-0.239,-1,0.107
2021.01,7.3,3.93,1.11,-0.6,4,1.1,0.436,0.116,-0.111,-0.274,-1,0.187
2021.02,7.3,3.93,1.11,-3.2,4,1.1,0.436,0.116,-0.111,-0.308,-1,0.187
2021.03,7.3,3.93,1.11,24.2,4,1.1,0.436,0.116,-0.111,0.043,-1,0.187
2021.04,7.43,4.47,1.42,99,4,7.2,0.493,0.483,0.463,1,-1,1
2021.05,7.43,4.47,1.42,27.6,4,7.2,0.493,0.483,0.463,0.086,-1,1
2021.06,7.43,4.47,1.42,13.8,4,7.2,0.493,0.483,0.463,-0.09,-1,1
2021.07,6.1,3.8,1.26,11.5,4,3,-0.098,0.027,0.167,-0.12,-1,0.44
2021.08,6.1,3.8,1.26,13,4,3,-0.098,0.027,0.167,-0.1,-1,0.44
2021.09,6.1,3.8,1.26,4.4,4,3,-0.098,0.027,0.167,-0.21,-1,0.44
2021.1,7.03,4.1,1.09,4.2,4,1.7,0.316,0.231,-0.148,-0.213,-1,0.267
2021.11,7.03,4.1,1.09,1,4,1.7,0.316,0.231,-0.148,-0.254,-1,0.267
2021.12,7.03,4.1,1.09,1,4,1.7,0.316,0.231,-0.148,-0.254,-1,0.267
